href,name,price,price_per_unit,size
https://www.compraonline.bonpreuesclat.cat/products/brillante-arr%C3%B2s-rod%C3%B3-tradicional-xl/63147,BRILLANTE Arròs rodó tradicional XL,"1,95 €","(4,88 € per quilo)","2 x 0.2kg(4,88 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/brillante-arr%C3%B2s-integral-amb-quinoa/17535,BRILLANTE Arròs integral amb quinoa,"1,49 €","(5,96 € per quilo)","2 x 0.125kg(5,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/montsia-arr%C3%B2s-rod%C3%B3-extra/00732,MONTSIA Arròs rodó extra,"1,93 €","(1,93 € per quilo)","1kg(1,93 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/brillante-arr%C3%B2s-integral-amb-xia/15234,BRILLANTE Arròs integral amb xia,"1,49 €","(5,96 € per quilo)","2 x 0.125kg(5,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/segadors-delta-arr%C3%B2s-extra/87983,SEGADORS DELTA Arròs extra,"2,15 €","(2,15 € per quilo)","1kg(2,15 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-bomba-selecci%C3%B3/09335,NOMEN Arròs bomba selecció,"5,29 €","(5,29 € per quilo)","1kg(5,29 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/brillante-arr%C3%B2s-llarg-xl/63146,BRILLANTE Arròs llarg XL,"1,95 €","(4,88 € per quilo)","2 x 0.2kg(4,88 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-llarg/27719,NOMEN Arròs llarg,"1,39 €","(1,39 € per quilo)","1kg(1,39 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-arr%C3%B2s-extra/84755,BONPREU Arròs extra,"1,30 €","(1,30 € per quilo)","1kg(1,30 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-rod%C3%B3/00731,NOMEN Arròs rodó,"1,89 €","(1,89 € per quilo)","1kg(1,89 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/brillante-arr%C3%B2s-basmati/28508,BRILLANTE Arròs basmati,"1,34 €","(5,36 € per quilo)","2 x 0.125kg(5,36 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/brillante-arr%C3%B2s-rod%C3%B3-tradicional/22439,BRILLANTE Arròs rodó tradicional,"1,25 €","(5,00 € per quilo)","2 x 0.125kg(5,00 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/brillante-arr%C3%B2s-integral/23689,BRILLANTE Arròs integral,"1,25 €","(5,00 € per quilo)","2 x 0.125kg(5,00 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-arr%C3%B2s-llarg/58316,BONPREU Arròs llarg,"1,35 €","(1,35 € per quilo)","1kg(1,35 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-arr%C3%B2s-basmati/79337,BONPREU Arròs basmati,"2,20 €","(2,20 € per quilo)","1kg(2,20 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-rod%C3%B3/00730,NOMEN Arròs rodó,"1,15 €","(2,30 € per quilo)","0.5kg(2,30 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/tilda-arr%C3%B2s-basmati-original/32909,TILDA Arròs basmati original,"3,49 €","(3,49 € per quilo)","1kg(3,49 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-arr%C3%B2s-bomba/22508,BONPREU Arròs bomba,"5,09 €","(5,09 € per quilo)","1kg(5,09 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-arr%C3%B2s-integral/55174,BONPREU Arròs integral,"1,65 €","(1,65 € per quilo)","1kg(1,65 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/sos-arr%C3%B2s-integral-tradicional/20583,SOS Arròs integral tradicional,"1,89 €","(1,89 € per quilo)","1kg(1,89 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/avi-trias-arr%C3%B2s-de-pals-km0/81663,AVI TRIAS Arròs de Pals Km0,"3,29 €","(3,29 € per quilo)","1kg(3,29 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/scotti-arr%C3%B2s-per-risotto/21424,SCOTTI Arròs per risotto,"1,86 €","(3,72 € per quilo)","0.5kg(3,72 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-arr%C3%B2s-llarg-vaporitzat/14393,BONPREU Arròs llarg vaporitzat,"1,65 €","(1,65 € per quilo)","1kg(1,65 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/sabroz-arr%C3%B2s-rod%C3%B3/63145,SABROZ Arròs rodó,"2,79 €","(2,79 € per quilo)","1kg(2,79 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/illa-de-buda-arr%C3%B2s-bomba/05744,ILLA DE BUDA Arròs bomba,"6,45 €","(6,45 € per quilo)","1kg(6,45 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/sos-arr%C3%B2s-especial-amanides/35048,SOS Arròs especial amanides,"1,45 €","(2,90 € per quilo)","0.5kg(2,90 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-rod%C3%B3-ecol%C3%B2gic/77462,NOMEN Arròs rodó ecològic,"2,99 €","(2,99 € per quilo)","1kg(2,99 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-integral/72169,NOMEN Arròs integral,"1,99 €","(1,99 € per quilo)","1kg(1,99 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-arr%C3%B2s-integral-ecol%C3%B2gic/85333,BONPREU Arròs integral ecològic,"1,69 €","(3,38 € per quilo)","0.5kg(3,38 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-basmati/77102,NOMEN Arròs basmati,"3,45 €","(3,45 € per quilo)","1kg(3,45 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-integral-amb-verdures/67978,NOMEN Arròs integral amb verdures,"1,95 €","(6,96 € per quilo)","2 x 0.14kg(6,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-arr%C3%B2s-basmati-integral-ecol%C3%B2gic/85330,BONPREU Arròs basmati integral ecològic,"2,35 €","(4,70 € per quilo)","0.5kg(4,70 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/nomen-arr%C3%B2s-integral-amb-quinoa/66233,NOMEN Arròs integral amb quinoa,"1,95 €","(6,96 € per quilo)","2 x 0.14kg(6,96 € per quilo)"
