href,name,price,price_per_unit,size
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llenties-pardines/27379,BONPREU Llenties pardines,"1,05 €","(2,10 € per quilo)","0.5kg(2,10 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/luengo-mongeta-blanca/01049,LUENGO Mongeta blanca,"2,04 €","(4,08 € per quilo)","0.5kg(4,08 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-cigrons-blancs/10786,BONPREU Cigrons blancs,"1,25 €","(2,50 € per quilo)","0.5kg(2,50 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/mans-llentia-pardina-ecol%C3%B2gica/01081,MANS Llentia pardina ecològica,"4,49 €","(8,98 € per quilo)","0.5kg(8,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-mongetes-blanques/55985,BONPREU Mongetes blanques,"1,25 €","(2,50 € per quilo)","0.5kg(2,50 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/ecobasics-cigrons-pedrosillano-ecol%C3%B2gics/28741,ECOBASICS Cigrons pedrosillano ecològics,"2,25 €","(4,50 € per quilo)","0.5kg(4,50 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llenties-laird/86751,BONPREU Llenties Laird,"1,05 €","(2,10 € per quilo)","0.5kg(2,10 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/luengo-cigrons-lletosos/61158,LUENGO Cigrons lletosos,"2,19 €","(4,38 € per quilo)","0.5kg(4,38 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/cigronet-ecol%C3%B2gic/00272,Cigronet ecològic,"3,99 €","(7,98 € per quilo)","0.5kg(7,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/luengo-cigr%C3%B3-mitjans/10926,LUENGO Cigró mitjans,"3,65 €","(3,65 € per quilo)","1kg(3,65 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-mongetes-vermelles/10376,BONPREU Mongetes vermelles,"1,49 €","(2,98 € per quilo)","0.5kg(2,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-mongetes-blanques/75912,BONPREU Mongetes blanques,"2,49 €","(2,49 € per quilo)","1kg(2,49 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-cigrons/74268,BONPREU Cigrons,"2,19 €","(2,19 € per quilo)","1kg(2,19 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-cigrons-blancs/42241,BONPREU Cigrons blancs,"2,49 €","(2,49 € per quilo)","1kg(2,49 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/vegas-banezanas-cigrons/26491,VEGAS BANEZANAS Cigrons,"2,25 €","(4,50 € per quilo)","0.5kg(4,50 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/ecobasics-mongetes-blanques-ecol%C3%B2giques/28815,ECOBASICS Mongetes blanques ecològiques,"2,95 €","(5,90 € per quilo)","0.5kg(5,90 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/mans-cigrons-cuits-ecol%C3%B2gics-km0/38470,MANS Cigrons cuits ecològics Km0,"3,59 €","(11,97 € per quilo)","0.3kg(11,97 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/luengo-soja/26499,LUENGO Soja,"1,66 €","(3,32 € per quilo)","0.5kg(3,32 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-soja-verda-ecol%C3%B2gica/85335,BONPREU Soja verda ecològica,"2,99 €","(5,98 € per quilo)","0.5kg(5,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/luengo-llentia-pardina/05205,LUENGO Llentia pardina,"2,05 €","(4,10 € per quilo)","0.5kg(4,10 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/ifa-soja-texturitzada/55161,IFA Soja texturitzada,"2,25 €","(9,00 € per quilo)","0.25kg(9,00 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llenties-vermelles-ecol%C3%B2giques/85329,BONPREU Llenties vermelles ecològiques,"2,49 €","(4,98 € per quilo)","0.5kg(4,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/luengo-llenties-pardines/01040,LUENGO Llenties pardines,"3,99 €","(3,99 € per quilo)","1kg(3,99 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llenties-crimson/30134,BONPREU Llenties crimson,"1,65 €","(1,65 € per quilo)","1kg(1,65 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-cigrons-pedrosillano/74267,BONPREU Cigrons Pedrosillano,"1,89 €","(1,89 € per quilo)","1kg(1,89 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/luengo-llenties-r%C3%A0pides/01089,LUENGO Llenties ràpides,"1,99 €","(3,98 € per quilo)","0.5kg(3,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/vegas-banezanas-llentia-pardina/26480,VEGAS BANEZANAS Llentia pardina,"2,19 €","(4,38 € per quilo)","0.5kg(4,38 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/ecobasics-llenties-pardina-ecol%C3%B2giques/11263,ECOBASICS Llenties pardina ecològiques,"2,99 €","(5,98 € per quilo)","0.5kg(5,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llenties-r%C3%A0pides/17905,BONPREU Llenties ràpides,"1,15 €","(2,30 € per quilo)","0.5kg(2,30 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-cigrons/55958,BONPREU Cigrons,"1,10 €","(2,20 € per quilo)","0.5kg(2,20 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/luengo-mongetes-negreta/10687,LUENGO Mongetes negreta,"1,56 €","(3,12 € per quilo)","0.5kg(3,12 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/luengo-cigrons/01051,LUENGO Cigrons,"2,07 €","(4,14 € per quilo)","0.5kg(4,14 € per quilo)"
