href,name,price,price_per_unit,size
https://www.compraonline.bonpreuesclat.cat/products/buitoni-base-per-a-pizza-fin%C3%ADssima-rectangular/40075,BUITONI Base per a pizza Finíssima rectangular,"1,87 €","(7,19 € per quilo)","0.26kg(7,19 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-gnocchi-fresc-de-patata/62134,RANA Gnocchi fresc de patata,"2,25 €","(5,63 € per quilo)","0.4kg(5,63 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-farcits-de-pollastre-rostit/06567,RANA Raviolis farcits de pollastre rostit,"2,85 €","(11,40 € per quilo)","0.25kg(11,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-4-formatges/81928,RANA Raviolis 4 formatges,"2,85 €","(11,40 € per quilo)","0.25kg(11,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/buitoni-raviolis-farcits-de-carn-brasejada/80343,BUITONI Raviolis farcits de carn brasejada,"2,99 €","(13,00 € per quilo)","0.23kg(13,00 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/buitoni-tortel-linis-farcits-de-riccota-i-espinacs/32986,BUITONI Tortel·linis farcits de riccota i espinacs,"2,99 €","(13,00 € per quilo)","0.23kg(13,00 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/buitoni-cappelletti-farcits-de-pernil/32985,BUITONI Cappelletti farcits de pernil,"2,99 €","(13,00 € per quilo)","0.23kg(13,00 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-de-tonyina-i-tom%C3%A0quet/81967,RANA Raviolis de tonyina i tomàquet,"2,85 €","(11,40 € per quilo)","0.25kg(11,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-costelles-amb-salsa-bbq/56474,RANA Raviolis costelles amb salsa BBQ,"2,85 €","(11,40 € per quilo)","0.25kg(11,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-raviolis-de-pernil-i-formatge/13954,RANA Raviolis de pernil i formatge,"2,85 €","(11,40 € per quilo)","0.25kg(11,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/rana-tortel-linis-de-parmes%C3%A0/75402,RANA Tortel·linis de parmesà,"2,85 €","(11,40 € per quilo)","0.25kg(11,40 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/jr-base-de-pasta-filo/16742,JR Base de Pasta Filo,"2,49 €","(9,96 € per quilo)","0.25kg(9,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-base-fina-i-rodona-per-a-pizza/31181,BONPREU Base fina i rodona per a Pizza,"1,25 €","(5,43 € per quilo)","0.23kg(5,43 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-nyoquis-de-patata/58811,BONPREU Nyoquis de patata,"1,10 €","(2,20 € per quilo)","0.5kg(2,20 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-base-rodona-per-a-pizza/21561,BONPREU Base rodona per a Pizza,"1,20 €","(4,62 € per quilo)","0.26kg(4,62 € per quilo)"
