href,name,price,price_per_unit,size
https://www.compraonline.bonpreuesclat.cat/products/hellmann-s-maionesa/05488,HELLMANN'S Maionesa,"1,95 €","(8,67 € per litre)","0.225L(8,67 € per litre)"
https://www.compraonline.bonpreuesclat.cat/products/hellmann-s-maionesa/09428,HELLMANN'S Maionesa,"2,99 €","(6,64 € per litre)","0.45L(6,64 € per litre)"
https://www.compraonline.bonpreuesclat.cat/products/hellmann-s-maionesa/20407,HELLMANN'S Maionesa,"3,49 €","(8,12 € per litre)","0.43L(8,12 € per litre)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-lla%C3%A7os-amb-vegetals/80439,BONPREU Llaços amb vegetals,"1,05 €","(2,10 € per quilo)","0.5kg(2,10 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-espirals-amb-vegetals/27026,GALLO Espirals amb vegetals,"1,79 €","(3,98 € per quilo)","0.45kg(3,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/garofalo-pasta-primavera/70835,GAROFALO Pasta Primavera,"1,79 €","(3,58 € per quilo)","0.5kg(3,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-macarrons-gruixuts/04412,BONPREU Macarrons gruixuts,"0,79 €","(1,58 € per quilo)","0.5kg(1,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/barilla-espaguetis-n%C2%BA5/06098,BARILLA Espaguetis Nº5,"1,69 €","(3,38 € per quilo)","0.5kg(3,38 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-fideus-gruixuts/60793,BONPREU Fideus gruixuts,"0,79 €","(1,58 € per quilo)","0.5kg(1,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-tallarines/00136,GALLO Tallarines,"1,39 €","(3,09 € per quilo)","0.45kg(3,09 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-macarrons-integrals-ecol%C3%B2gics-km0/36770,BONPREU Macarrons integrals ecològics Km0,"1,45 €","(2,90 € per quilo)","0.5kg(2,90 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-espaguetis-integrals-ecol%C3%B2gics-km0/36574,BONPREU Espaguetis integrals ecològics Km0,"1,45 €","(2,90 € per quilo)","0.5kg(2,90 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-fideus-per-fideuada/49618,BONPREU Fideus per fideuada,"0,79 €","(1,58 € per quilo)","0.5kg(1,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-fideus-cabell-d-%C3%A0ngel/29736,BONPREU Fideus cabell d'àngel,"0,79 €","(1,58 € per quilo)","0.5kg(1,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-pasta-fina-amb-tom%C3%A0quet-i-espinacs/15185,GALLO Pasta fina amb tomàquet i espinacs,"1,78 €","(4,45 € per quilo)","0.4kg(4,45 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-galets-mitjans/02773,BONPREU Galets mitjans,"0,79 €","(1,58 € per quilo)","0.5kg(1,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-macarrons-n%C2%BA3/92623,GALLO Macarrons Nº3,"1,39 €","(3,09 € per quilo)","0.45kg(3,09 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-pasta-pistons/49723,BONPREU Pasta pistons,"0,79 €","(1,58 € per quilo)","0.5kg(1,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-pasta-integral-espirals-ecol%C3%B2gica-km0/29977,BONPREU Pasta integral espirals ecològica Km0,"1,45 €","(2,90 € per quilo)","0.5kg(2,90 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-pasta-d-estrelles/58455,BONPREU Pasta d'estrelles,"0,79 €","(1,58 € per quilo)","0.5kg(1,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-pasta-meravella-km0/26447,BONPREU Pasta meravella Km0,"0,49 €","(1,96 € per quilo)","0.25kg(1,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-margarides-amb-vegetals/26971,GALLO Margarides amb vegetals,"1,79 €","(3,98 € per quilo)","0.45kg(3,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/garofalo-pasta-radiatori/26448,GAROFALO Pasta Radiatori,"1,79 €","(3,58 € per quilo)","0.5kg(3,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-galets-petits-km0/26450,BONPREU Galets petits Km0,"0,49 €","(1,96 € per quilo)","0.25kg(1,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-pasta-de-lletres-km0/26451,BONPREU Pasta de lletres Km0,"0,49 €","(1,96 € per quilo)","0.25kg(1,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-pasta-pinyons-km0/26457,BONPREU Pasta pinyons Km0,"0,49 €","(1,96 € per quilo)","0.25kg(1,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-macarrons-ecol%C3%B2gics-km0/36573,BONPREU Macarrons ecològics Km0,"1,35 €","(2,70 € per quilo)","0.5kg(2,70 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-espirals/04195,BONPREU Espirals,"0,79 €","(1,58 € per quilo)","0.5kg(1,58 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/de-cecco-macarrons-n%C2%BA41/66456,DE CECCO Macarrons Nº41,"2,39 €","(4,78 € per quilo)","0.5kg(4,78 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-pasta-petxines-km0/26497,BONPREU Pasta petxines Km0,"0,49 €","(1,96 € per quilo)","0.25kg(1,96 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-espaguetis-n%C2%BA3/83218,GALLO Espaguetis Nº3,"1,00 €","(2,50 € per quilo)","0.4kg(2,50 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/de-cecco-pasta-rigatoni-n%C2%BA24/66462,DE CECCO Pasta Rigatoni Nº24,"2,39 €","(4,78 € per quilo)","0.5kg(4,78 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-espirals-vegetals-sense-gluten/11194,GALLO Espirals vegetals sense gluten,"2,49 €","(5,53 € per quilo)","0.45kg(5,53 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/de-cecco-espirals-n%C2%BA34/66460,DE CECCO Espirals Nº34,"2,39 €","(4,78 € per quilo)","0.5kg(4,78 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-macarrons-sense-gluten/10986,GALLO Macarrons sense gluten,"2,49 €","(5,53 € per quilo)","0.45kg(5,53 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-lla%C3%A7os-amb-vegetals/60800,GALLO Llaços amb vegetals,"1,79 €","(3,98 € per quilo)","0.45kg(3,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/bonpreu-macarrons-amb-vegetals/31095,BONPREU Macarrons amb vegetals,"0,99 €","(1,98 € per quilo)","0.5kg(1,98 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/gallo-fideus-n%C2%BA2/27094,GALLO Fideus Nº2,"1,39 €","(3,09 € per quilo)","0.45kg(3,09 € per quilo)"
https://www.compraonline.bonpreuesclat.cat/products/de-cecco-pasta-espaguetis-n%C2%BA11/66466,DE CECCO Pasta espaguetis Nº11,"2,39 €","(4,78 € per quilo)","0.5kg(4,78 € per quilo)"
