name,price,price_per_kg
Arroz extra Arrozona de Dia paquete 1 Kg,"1,30 €","(1,30 €/KILO)"
Arroz largo de primera categoría Arrozona de Dia paquete 1 Kg,"1,35 €","(1,35 €/KILO)"
Arroz basmati Selección Mundial de Dia paquete 1 Kg,"2,20 €","(2,20 €/KILO)"
Arroz redondo Al Punto Dia vaso 2 x 125 g,"1,19 €","(4,76 €/KILO)"
Arroz redondo SOS paquete 1 Kg,"1,88 €","(1,88 €/KILO)"
Arroz basmati Brillante vaso 2 x 125 g,"1,38 €","(5,52 €/KILO)"
Arroz redondo Brillante paquete 1 Kg,"2,79 €","(2,79 €/KILO)"
Arroz vaporizado Arrozona de Dia paquete 1 Kg,"1,65 €","(1,65 €/KILO)"
Arroz integral Brillante vaso 2 x 125 g,"1,25 €","(5,00 €/KILO)"
Arroz integral Arrozona de Dia paquete 1 Kg,"1,65 €","(1,65 €/KILO)"
Arroz vaporizado Brillante caja 1 Kg,"1,99 €","(1,99 €/KILO)"
Arroz integral con quinoa Brillante vaso 2 x 125 g,"1,49 €","(5,96 €/KILO)"
Arroz bomba Arrozona de Dia paquete 500 g,"2,95 €","(5,90 €/KILO)"
Arroz risotto Selección Mundial de Dia paquete 500 g,"1,69 €","(3,38 €/KILO)"
Arroz basmati Brillante vaso 400 g,"2,43 €","(6,08 €/KILO)"
Arroz basmati Nomen vaso 2 x 125 g,"1,25 €","(5,00 €/KILO)"
Arroz integral SOS paquete 1 Kg,"2,09 €","(2,09 €/KILO)"
Arroz bomba La fallera paquete 1 Kg,"6,05 €","(6,05 €/KILO)"
Arroz redondo tradicional Brillante vaso 400 g,"2,35 €","(5,88 €/KILO)"
Arroz arborio risotto Riso scotti paquete 500 g,"1,79 €","(3,58 €/KILO)"
Arroz integral Nomen vaso 2 x 125 g,"1,19 €","(4,76 €/KILO)"
Arroz basmati Tilda paquete 1 Kg,"3,59 €","(3,59 €/KILO)"
Arroz redondo D.O.P. Calasparra paquete 1 Kg,"3,15 €","(3,15 €/KILO)"
