name,price (€),price_per_kg
Espagueti Al Diante Dia bolsa 1 Kg,1.2,1.2
Macarrón Al Diante Dia bolsa 1 Kg,1.2,1.2
Arroz extra Arrozona de Dia paquete 1 Kg,1.3,1.3
Arroz largo de primera categoría Arrozona de Dia paquete 1 Kg,1.35,1.35
Fideo entrefino Al Diante Dia bolsa 500 g,0.8,1.6
Piñones Al Diante Dia bolsa 500 g,0.8,1.6
Fideuá Al Diante Dia bolsa 500 g,0.8,1.6
Macarrón Al Diante Dia bolsa 500 g,0.8,1.6
Fideo cabellín Al Diante Dia bolsa 500 g,0.8,1.6
Sopa maravilla Al Diante Dia bolsa 500 g,0.8,1.6
Espagueti Al Diante Dia bolsa 500 g,0.8,1.6
Tallarines Al Diante Dia bolsa 500 g,0.8,1.6
Fideo grueso Al Diante Dia bolsa 500 g,0.8,1.6
Pluma rayada n 5 Al Diante Dia bolsa 500 g,0.8,1.6
Pasta de tiburones Al Diante Dia bolsa 500 g,0.8,1.6
Arroz integral Arrozona de Dia paquete 1 Kg,1.65,1.65
Arroz vaporizado Arrozona de Dia paquete 1 Kg,1.65,1.65
Macarrón vegetal Al Diante Dia bolsa 500 g,0.85,1.7
Plumas rayadas cocción rápida Al Diante Dia bolsa 500 g,0.85,1.7
Hélice vegetal Al Diante Dia bolsa 500 g,0.85,1.7
Arroz redondo SOS paquete 1 Kg,1.88,1.88
Garbanzos cocidos extra Vegecampo de Dia frasco 400 g,0.75,1.88
Garbanzos pedrosillanos Vegecampo de Dia bolsa 1 Kg,1.9,1.9
Arroz vaporizado Brillante caja 1 Kg,1.99,1.99
Lentejas cocidas Vegecampo de Dia frasco 400 g,0.8,2.0
Arroz integral SOS paquete 1 Kg,2.09,2.09
Lentejas pardinas Vegecampo de Dia bolsa 1 Kg,2.1,2.1
Pajarita vegetal Al Diante Dia bolsa 500 g,1.05,2.1
Lentejas castellanas Vegecampo de Dia bolsa 1 Kg,2.1,2.1
Garbanzos extra Vegecampo de Dia bolsa 1 Kg,2.2,2.2
Arroz basmati Selección Mundial de Dia paquete 1 Kg,2.2,2.2
Gnocchi de patata Selección Mundial de Dia bandeja 500 g,1.1,2.2
Garbanzos cocidos pedrosillanos Vegecampo de Dia frasco 400 g,0.95,2.38
Macarrón integral Al Diante Dia bolsa 500 g,1.2,2.4
Espagueti integral Al Diante Dia bolsa 500 g,1.2,2.4
Espaguetis nº 3 Gallo bolsa 400 g,1.0,2.5
Plumas nº 6 Gallo bolsa 400 g,1.0,2.5
Fideo Nº0 Gallo bolsa 400 g,1.0,2.5
Garbanzos extra Vegecampo de Dia bolsa 500 g,1.29,2.58
Garbanzos cocidos bajo contenido en sal Vegecampo de Dia frasco 400 g,1.05,2.63
Fusilli Selección Mundial de Dia bolsa 500 g,1.39,2.78
Pasta penne Selección Mundial de Dia bolsa 500 g,1.39,2.78
Pasta linguine Selección Mundial de Dia bolsa 500 g,1.39,2.78
Tortiglioni Selección Mundial de Dia bolsa 500 g,1.39,2.78
Arroz redondo Brillante paquete 1 Kg,2.79,2.79
Tagliata al huevo Al Diante Dia bolsa 500 g,1.4,2.8
Pasta penne rigate Barilla caja 500 g,1.4,2.8
Espaguetis al huevo Al Diante Dia bolsa 500 g,1.4,2.8
Espagueti nº 5 Barilla caja 500 g,1.4,2.8
Plumas rayadas Gallo bolsa 450 g,1.39,3.09
Tallarines Gallo bolsa 450 g,1.39,3.09
Plumas nº 3 Gallo bolsa 450 g,1.39,3.09
