name,price,price_per_kg
Garbanzos extra Vegecampo de Dia bolsa 1 Kg,"2,20 €","(2,20 €/KILO)"
Garbanzos pedrosillanos Vegecampo de Dia bolsa 1 Kg,"1,90 €","(1,90 €/KILO)"
Garbanzos cocidos extra Vegecampo de Dia frasco 400 g,"0,75 €","(1,88 €/KILO)"
Garbanzos cocidos pedrosillanos Vegecampo de Dia frasco 400 g,"0,95 €","(2,38 €/KILO)"
Garbanzos cocidos extra Vegecampo de Dia frasco 210 g,"0,70 €","(3,33 €/KILO)"
Garbanzos cocidos bajo contenido en sal Vegecampo de Dia frasco 400 g,"1,05 €","(2,63 €/KILO)"
Garbanzos con verduras cocidas Luengo frasco 400 g,"1,45 €","(3,63 €/KILO)"
Garbanzos Luengo bolsa 1 Kg,"3,99 €","(3,99 €/KILO)"
Garbanzos cocidos Luengo frasco 400 g,"1,30 €","(3,25 €/KILO)"
Garbanzos cocidos Legumbres La Asturiana frasco 210 g,"1,20 €","(5,71 €/KILO)"
Garbanzos cocidos Legumbres La Asturiana frasco 400 g,"1,70 €","(4,25 €/KILO)"
Garbanzos cocidos ecológicos Luengo frasco 400 g,"1,99 €","(4,98 €/KILO)"
Garbanzos extra Vegecampo de Dia bolsa 500 g,"1,29 €","(2,58 €/KILO)"
Garbanzos cocidos sin sal Legumbres La Asturiana frasco 400 g,"1,75 €","(4,38 €/KILO)"
Garbanzos pedrosillanos Luengo bolsa 1 Kg,"3,49 €","(3,49 €/KILO)"
